product_id,product_name,category,subcategory,brand,price,rating,review_count,description,features,availability
LAP001,"Apple MacBook Air M2 (16GB, 512GB SSD, Midnight)",Laptop,Ultrabook,Apple,109990.0,4.8,2450,"Apple M2 8-core CPU, 10-core GPU, 13.6-inch Liquid Retina Display, 18hr battery life","[""16GB RAM"", ""512GB SSD"", ""M2 Chip"", ""13.6-inch Retina"", ""18hr battery"", ""Backlit Keyboard""]",True
LAP002,"Apple MacBook Pro M3 (18GB, 512GB SSD, Space Black)",Laptop,Workstation,Apple,169900.0,4.9,890,"Apple M3 Pro chip, 14.2-inch Liquid Retina XDR, ProMotion 120Hz, 22hr battery","[""18GB RAM"", ""512GB SSD"", ""M3 Pro"", ""14.2-inch XDR"", ""120Hz ProMotion"", ""22hr battery""]",True
LAP003,"ASUS ROG Zephyrus G14 (AMD Ryzen 9, RTX 4060, 16GB, 1TB)",Laptop,Gaming,ASUS,144990.0,4.7,630,"AMD Ryzen 9 8945HS, NVIDIA RTX 4060 8GB, 14-inch 3K OLED 120Hz, 73Wh battery","[""16GB RAM"", ""1TB SSD"", ""RTX 4060"", ""Ryzen 9"", ""3K OLED 120Hz"", ""10hr battery""]",True
LAP004,"Lenovo ThinkPad E14 Gen 5 (Intel Core i5-1335U, 16GB, 512GB)",Laptop,Business,Lenovo,62990.0,4.4,1120,"Intel Core i5 13th Gen, 14-inch FHD IPS Antiglare, Aluminum chassis, Fingerprint reader","[""16GB RAM"", ""512GB SSD"", ""Core i5 13th Gen"", ""FHD IPS"", ""Backlit Keyboard"", ""12hr battery""]",True
LAP005,"HP Pavilion Plus 14 (Intel Core i7-13700H, 16GB, 1TB SSD)",Laptop,Thin & Light,HP,79990.0,4.5,740,"Intel Core i7 13th Gen, 14-inch 2.8K OLED Display, Eyesafe certified, Fast Charging","[""16GB RAM"", ""1TB SSD"", ""Core i7 13th Gen"", ""2.8K OLED"", ""Intel Iris Xe"", ""9hr battery""]",True
LAP006,"Acer Nitro V Gaming (Intel Core i5-13420H, RTX 4050, 16GB, 512GB)",Laptop,Gaming,Acer,68990.0,4.3,1890,"Intel Core i5 13th Gen, NVIDIA RTX 4050 6GB, 15.6-inch 144Hz FHD, Dual-fan cooling","[""16GB RAM"", ""512GB SSD"", ""RTX 4050"", ""Core i5"", ""144Hz FHD"", ""RGB Keyboard""]",True
LAP007,"Dell Inspiron 15 3530 (Intel Core i5-1335U, 16GB, 512GB SSD)",Laptop,Everyday,Dell,53490.0,4.2,980,"Intel Core i5 13th Gen, 15.6-inch FHD 120Hz WVA display, ExpressCharge","[""16GB RAM"", ""512GB SSD"", ""Core i5 13th Gen"", ""120Hz Display"", ""7hr battery""]",True
LAP008,"Lenovo IdeaPad Gaming 3 (AMD Ryzen 5 5600H, RTX 3050, 16GB, 512GB)",Laptop,Gaming,Lenovo,54990.0,4.3,3200,"AMD Ryzen 5 5600H, NVIDIA RTX 3050 4GB, 15.6-inch 120Hz IPS, Rapid Charge","[""16GB RAM"", ""512GB SSD"", ""RTX 3050"", ""Ryzen 5"", ""120Hz IPS"", ""Blue Backlit""]",True
LAP009,"ASUS Vivobook 15 (Intel Core i3-1215U, 8GB, 512GB SSD, Quiet Blue)",Laptop,Budget,ASUS,34990.0,4.1,4100,"Intel Core i3 12th Gen, 15.6-inch FHD Anti-glare, Privacy shutter camera, 42Wh battery","[""8GB RAM"", ""512GB SSD"", ""Core i3 12th Gen"", ""FHD Display"", ""6hr battery""]",True
LAP010,"Dell XPS 13 Plus 9320 (Intel Core i7-1360P, 32GB, 1TB SSD)",Laptop,Premium,Dell,189990.0,4.6,310,"Intel Core i7 13th Gen, 13.4-inch 3.5K OLED Touch, Capacitive Touch Bar, Zero-lattice keyboard","[""32GB RAM"", ""1TB SSD"", ""Core i7"", ""3.5K OLED Touch"", ""14hr battery"", ""CNC Aluminum""]",True
LAP011,"Samsung Galaxy Book4 Pro (Intel Core Ultra 7, 16GB, 512GB SSD)",Laptop,Ultrabook,Samsung,129990.0,4.7,420,"Intel Core Ultra 7 155H with Intel AI Boost, 14-inch 3K Dynamic AMOLED 2X 120Hz","[""16GB RAM"", ""512GB SSD"", ""Intel Core Ultra 7"", ""AMOLED 2X"", ""AI Boost"", ""18hr battery""]",True
LAP012,"HP Victus Gaming 16 (AMD Ryzen 7 7840HS, RTX 4060, 16GB, 1TB)",Laptop,Gaming,HP,89990.0,4.4,1540,"AMD Ryzen 7 7840HS, NVIDIA RTX 4060 8GB, 16.1-inch 144Hz FHD IPS, OMEN Gaming Hub","[""16GB RAM"", ""1TB SSD"", ""RTX 4060"", ""Ryzen 7"", ""144Hz IPS"", ""8hr battery""]",True
LAP013,"Apple MacBook Air M1 (8GB, 256GB SSD, Space Grey)",Laptop,Budget Ultrabook,Apple,69900.0,4.7,18400,"Apple M1 chip with 8-core CPU, 13.3-inch Retina Display, Fanless silent design","[""8GB RAM"", ""256GB SSD"", ""M1 Chip"", ""Retina Display"", ""18hr battery"", ""Fanless""]",True
LAP014,"ASUS TUF Gaming A15 (AMD Ryzen 7 7735HS, RTX 4050, 16GB, 512GB)",Laptop,Gaming,ASUS,73990.0,4.4,2250,"AMD Ryzen 7 7735HS, NVIDIA RTX 4050 6GB, 15.6-inch 144Hz FHD, Military-grade durability","[""16GB RAM"", ""512GB SSD"", ""RTX 4050"", ""Ryzen 7"", ""144Hz FHD"", ""90Wh battery""]",True
LAP015,"Xiaomi Notebook Pro 120G (Intel Core i5-12450H, 16GB, 512GB SSD)",Laptop,Productivity,Xiaomi,58999.0,4.2,880,"Intel Core i5 12th Gen, NVIDIA MX550 2GB, 14-inch 2.5K 120Hz Display, CNC Machined","[""16GB RAM"", ""512GB SSD"", ""Core i5"", ""NVIDIA MX550"", ""2.5K 120Hz"", ""8hr battery""]",True
PHN001,"Apple iPhone 15 (128GB, Black)",Smartphone,Flagship,Apple,71999.0,4.7,8450,"Dynamic Island, 48MP Main camera with 2x Telephoto, A16 Bionic chip, USB-C","[""128GB Storage"", ""6GB RAM"", ""A16 Bionic"", ""48MP Camera"", ""Dynamic Island"", ""USB-C"", ""OLED""]",True
PHN002,"Apple iPhone 15 Pro Max (256GB, Natural Titanium)",Smartphone,Flagship,Apple,149900.0,4.8,3200,"A17 Pro chip, Titanium design, Action button, 48MP camera with 5x optical zoom, 120Hz ProMotion","[""256GB Storage"", ""8GB RAM"", ""A17 Pro"", ""5x Telephoto"", ""120Hz OLED"", ""Titanium""]",True
